,,0,1,2,3
0,0,1709964258.2289383,1709964258.5188313,1709964258.5189066,1709964258.2602208
0,1,1709964258.2602208,1709964258.5475335,1709964258.547596,1709964258.2914383
0,2,1709964258.2914383,1709964258.575934,1709964258.575997,1709964258.3226893
0,3,1709964258.3226893,1709964258.6023376,1709964258.6024003,1709964258.338317
0,4,1709964258.338317,1709964258.630336,1709964258.630398,1709964258.3696692
0,5,1709964258.3696692,1709964258.6587205,1709964258.6587834,1709964258.4009244
0,6,1709964258.4009244,1709964258.687567,1709964258.6876295,1709964258.432186
0,7,1709964258.432186,1709964258.715719,1709964258.7157817,1709964258.4634235
1,0,1709964377.9993215,1709964378.7609322,1709964378.7610164,1709964378.0291772
1,1,1709964378.0291772,1709964378.7937112,1709964378.793774,1709964378.060493
1,2,1709964378.060493,1709964378.8249137,1709964378.8249762,1709964378.091595
1,3,1709964378.091595,1709964378.858541,1709964378.858603,1709964378.1229186
1,4,1709964378.1384652,1709964379.0424805,1709964379.042543,1709964378.3105078
1,5,1709964378.3105078,1709964379.1012385,1709964379.101301,1709964378.3573124
1,6,1709964378.3728456,1709964379.1379683,1709964379.138031,1709964378.4042606
1,7,1709964378.4042606,1709964379.1835134,1709964379.1835768,1709964378.4511337
2,0,1709964498.9996924,1709964499.2350073,1709964499.235099,1709964499.045155
2,1,1709964499.045155,1709964499.3155212,1709964499.3155832,1709964499.1121666
2,2,1709964499.1121666,1709964499.3547232,1709964499.3547852,1709964499.146222
2,3,1709964499.146222,1709964499.4063334,1709964499.4063957,1709964499.1958725
2,4,1709964499.1958725,1709964499.453145,1709964499.453207,1709964499.24549
2,5,1709964499.24549,1709964499.485663,1709964499.485725,1709964499.2796347
2,6,1709964499.2796347,1709964499.524004,1709964499.5240662,1709964499.3133998
2,7,1709964499.3133998,1709964499.67364,1709964499.6737022,1709964499.4584286
3,0,1709964618.9998865,1709964619.7212334,1709964619.7213192,1709964619.0124044
3,1,1709964619.0124044,1709964619.7484279,1709964619.7484896,1709964619.0476632
3,2,1709964619.0476632,1709964619.7764184,1709964619.7764804,1709964619.079077
3,3,1709964619.079077,1709964619.8028228,1709964619.802902,1709964619.0977204
3,4,1709964619.0977204,1709964619.8324656,1709964619.8325279,1709964619.1292949
3,5,1709964619.1292949,1709964619.8652675,1709964619.8653293,1709964619.162865
